block_id,selected_block,selected_reason_if_no
23582,Yes,
17491,No,3
861,No,3
9136,No,3
26105,Yes,
9717,Yes,
26130,Yes,
23444,Yes,
6345,Yes,
20138,No,2
20186,Yes,
4426,Yes,
12740,Yes,
8289,Yes,
6463,Yes,
211,No,3
21436,Yes,
2749,Yes,
10908,Yes,
1296,Yes,
3735,Yes,
18033,No,3
3357,Yes,
1755,Yes,
9408,Yes,
18303,Yes,
20104,Yes,
19047,Yes,
20598,Yes,
23184,Yes,
16723,No,3
8621,Yes,
7834,Yes,
16098,Yes,
15884,Yes,
12226,Yes,
17671,Yes,
9762,Yes,
20956,Yes,
16800,No,3
8353,Yes,
14504,No,2
13861,Yes,
9947,Yes,
21497,Yes,
1042,No,3
5299,Yes,
7795,Yes,
9477,No,3
22167,Yes,
17050,No,3
9012,No,2
19757,No,2
24951,Yes,
12789,Yes,
7749,Yes,
10801,Yes,
23525,Yes,
8801,Yes,
11966,Yes,
9397,Yes,
9140,No,2
10349,Yes,
3047,Yes,
15086,Yes,
14130,Yes,
23124,No,3
26164,Yes,
8625,Yes,
15192,Yes,
9565,Yes,
23928,No,2
25299,Yes,
229,Yes,
19492,No,3
19931,Yes,
16239,No,3
7319,Yes,
2949,Yes,
13556,Yes,
24523,Yes,
16610,Yes,
5758,Yes,
1707,Yes,
21250,No,2
21651,Yes,
21804,Yes,
19597,Yes,
9419,Yes,
7207,Yes,
8409,No,2
22262,Yes,
14945,No,3
20713,No,2
26176,Yes,
25700,Yes,
2387,Yes,
26014,Yes,
21430,Yes,
23300,Yes,
6033,Yes,
13800,Yes,
5791,Yes,
2115,Yes,
9919,Yes,
14156,Yes,
17600,No,3
22805,Yes,
4965,Yes,
24433,Yes,
24817,Yes,
7552,Yes,
9751,No,1
24868,Yes,
12115,Yes,
6421,Yes,
1269,Yes,
6123,Yes,
16760,Yes,
12405,Yes,
10414,Yes,
3916,Yes,
22813,Yes,
18058,Yes,
16198,Yes,