city,country,block_id,block_category,block_observations,block_selected_partner
Lagos,Nigeria,7638,5,,yes
Lagos,Nigeria,7964,5,,yes
Lagos,Nigeria,7176,5,,yes
Lagos,Nigeria,5094,2,empty land Ogombo Lekki,no
Lagos,Nigeria,2552,4,,yes
Lagos,Nigeria,8210,5,,yes
Lagos,Nigeria,7978,4,,yes
Lagos,Nigeria,3087,5,,yes
Lagos,Nigeria,1907,4,,yes
Lagos,Nigeria,3225,2,empty,no
Lagos,Nigeria,3978,2,empty land- estiosa VI railway line,no
Lagos,Nigeria,9224,4,,yes
Lagos,Nigeria,305,5,,yes
Lagos,Nigeria,6654,5,,yes
Lagos,Nigeria,6662,2,Empty land in Lekki,no
Lagos,Nigeria,4057,4,,yes
Lagos,Nigeria,638,5,,yes
Lagos,Nigeria,4564,5,,yes
Lagos,Nigeria,7000,5,,yes
Lagos,Nigeria,5000,4,,yes
Lagos,Nigeria,1865,4,,yes
Lagos,Nigeria,5046,4,,yes
Lagos,Nigeria,603,4,,yes
Lagos,Nigeria,1885,1,"Embasssy of US,UK  etc purely offices",no
Lagos,Nigeria,7802,5,,yes
Lagos,Nigeria,4559,5,,yes
Lagos,Nigeria,8575,4,,yes
Lagos,Nigeria,2031,5,,yes
Lagos,Nigeria,1677,5,,yes
Lagos,Nigeria,5057,4,,yes
Lagos,Nigeria,1050,5,,yes
Lagos,Nigeria,9171,4,,yes
Lagos,Nigeria,1994,4,,yes
Lagos,Nigeria,7530,5,,yes
Lagos,Nigeria,3813,4,,yes
Lagos,Nigeria,7188,2,Empty land Lekki Gardens,no
Lagos,Nigeria,7273,5,,yes
Lagos,Nigeria,4738,2,Forest in Lekki,no
Lagos,Nigeria,3974,2,empty land- estiosa VI railway line,no
Lagos,Nigeria,7654,4,,yes
Lagos,Nigeria,9044,4,,yes
Lagos,Nigeria,5747,5,,yes
Lagos,Nigeria,8746,4,,yes
Lagos,Nigeria,8269,2,RURAL,no
Lagos,Nigeria,464,4,,yes
Lagos,Nigeria,8477,4,,yes
Lagos,Nigeria,1722,4,,yes
Lagos,Nigeria,1216,2,RURAL,no
Lagos,Nigeria,4184,5,,yes
Lagos,Nigeria,1242,2,Tincan Island/ sea,no
Lagos,Nigeria,2408,5,,yes
Lagos,Nigeria,4335,5,,yes
Lagos,Nigeria,6318,5,,yes
Lagos,Nigeria,6128,5,,yes
Lagos,Nigeria,1787,4,,yes
Lagos,Nigeria,4665,5,,yes
Lagos,Nigeria,2249,4,,yes
Lagos,Nigeria,7602,4,,yes
Lagos,Nigeria,4197,4,,yes
Lagos,Nigeria,7084,4,,yes
Lagos,Nigeria,6855,5,,yes
Lagos,Nigeria,7596,4,,yes
Lagos,Nigeria,5157,4,,yes
Lagos,Nigeria,2981,5,,yes
Lagos,Nigeria,3607,5,,yes
Lagos,Nigeria,890,5,,yes
Lagos,Nigeria,4871,5,,yes
Lagos,Nigeria,4265,2,ocean- empty space,no
Lagos,Nigeria,1818,4,,yes
Lagos,Nigeria,7072,4,,yes
Lagos,Nigeria,4718,5,,yes
Lagos,Nigeria,6067,4,,yes
Lagos,Nigeria,3077,4,,yes
Lagos,Nigeria,3815,4,,yes
Lagos,Nigeria,2213,4,,yes
Lagos,Nigeria,4713,2,empty space,no
Lagos,Nigeria,4172,2,empty space,no
Lagos,Nigeria,2716,4,,yes
Lagos,Nigeria,8404,4,,yes
Lagos,Nigeria,8749,4,,yes
Lagos,Nigeria,3465,4,,yes
Lagos,Nigeria,1077,2,empty space,no
Lagos,Nigeria,5726,5,,yes
Lagos,Nigeria,8106,5,,yes
Lagos,Nigeria,5814,4,,yes
Lagos,Nigeria,2587,4,,yes
Lagos,Nigeria,1781,4,,yes
Lagos,Nigeria,6533,4,,yes
Lagos,Nigeria,3478,2,"five cowries creek- ocean, no business",no
Lagos,Nigeria,6010,5,,yes
Lagos,Nigeria,5024,3,"Banana Island, Ikoyi",no
Lagos,Nigeria,8608,5,,yes
Lagos,Nigeria,989,5,,yes
Lagos,Nigeria,7658,5,,yes
Lagos,Nigeria,1460,4,,yes
Lagos,Nigeria,5320,4,,yes
Lagos,Nigeria,6285,5,,yes
Lagos,Nigeria,5978,5,,yes
Lagos,Nigeria,7314,4,,yes
Lagos,Nigeria,789,4,,yes
Lagos,Nigeria,4836,5,,yes
Lagos,Nigeria,3403,2,conservation farm Lekki,no
Lagos,Nigeria,4366,5,,yes
Lagos,Nigeria,412,4,,yes
Lagos,Nigeria,3499,5,,yes
Lagos,Nigeria,3573,5,,yes
Lagos,Nigeria,7610,5,,yes
Lagos,Nigeria,3232,2,"new area, empty space- etiosa",no
Lagos,Nigeria,1936,5,,yes
Lagos,Nigeria,7575,4,,yes
Lagos,Nigeria,7405,5,,yes
Lagos,Nigeria,3235,2,"empty, new area in etiosa",no
Lagos,Nigeria,4218,4,,yes
Lagos,Nigeria,2085,4,,yes
Lagos,Nigeria,1940,4,,yes
Lagos,Nigeria,2717,4,,yes
Lagos,Nigeria,2203,4,,yes
Lagos,Nigeria,5826,4,,yes
Lagos,Nigeria,1694,5,,yes
Lagos,Nigeria,3127,5,,yes
Lagos,Nigeria,2243,5,,yes
Lagos,Nigeria,580,5,,yes
Lagos,Nigeria,8436,4,,yes
Lagos,Nigeria,2851,4,,yes
Lagos,Nigeria,3939,2,empty space near ogombo lekki,no